DATE,FROM_CURRENCY,EXCHANGE_RATE
2023-11-09,MXN,0.057100
2024-02-05,JPY,0.006740
2024-09-02,MXN,0.050730
2024-07-08,AUD,0.674950
2024-11-06,EUR,1.090110
2023-11-23,JPY,0.006710
2023-07-14,BRL,0.207990
2024-01-02,INR,0.012020
2024-01-10,SGD,0.752070
2024-11-05,CHF,1.157270
2023-08-15,CHF,1.139290
2023-03-27,EUR,1.076280
2023-04-18,MXN,0.055480
2024-09-15,AUD,0.670550
2023-04-30,CAD,0.738380
2023-04-10,BRL,0.197850
2024-09-08,CAD,0.736830
2023-08-11,MXN,0.058710
2024-11-12,JPY,0.006510
2024-10-02,CAD,0.740020
2024-06-14,SGD,0.741000
2023-01-04,SGD,0.744810
2023-09-29,JPY,0.006700
2023-06-21,AED,0.272310
2024-06-07,CAD,0.730970
2023-05-12,GBP,1.256540
2024-01-28,BRL,0.203460
2023-03-17,JPY,0.007520
2023-11-05,INR,0.012030
2024-11-15,AED,0.272290
2023-10-23,CAD,0.729280
2024-08-22,MXN,0.052310
2024-03-30,INR,0.012000
2024-10-03,JPY,0.006890
2023-01-18,EUR,1.081640
2023-05-15,SGD,0.747660
2023-10-05,BRL,0.193910
2024-11-04,BRL,0.170450
2023-11-09,BRL,0.204750
2023-11-12,SGD,0.735530
2023-06-25,INR,0.012200
2024-07-26,AED,0.272290
2023-05-30,CAD,0.735570
2024-01-31,MXN,0.058160
2023-08-29,JPY,0.006830
2023-09-30,CHF,1.094740
2024-04-23,AED,0.272320
2024-08-23,AED,0.272300
2024-07-12,GBP,1.288990
2023-11-19,GBP,1.246360
2024-04-17,GBP,1.243760
2024-11-17,EUR,1.054100
2023-05-04,CHF,1.126010
2023-12-28,INR,0.012010
2024-04-04,JPY,0.006590
2023-05-28,CHF,1.105120
2024-03-16,MXN,0.059850
2023-10-29,CHF,1.108510
2023-12-21,SGD,0.752030
2023-05-31,CAD,0.735670
2023-04-03,INR,0.012170
2023-04-17,AUD,0.671270
2024-11-14,INR,0.011850
2023-08-29,CHF,1.131690
2023-11-01,BRL,0.198290
2023-07-23,JPY,0.007050
2023-07-25,AUD,0.673820
2024-06-05,MXN,0.056200
2023-08-27,JPY,0.006830
2024-03-21,CAD,0.737590
2023-07-14,INR,0.012190
2024-04-23,CAD,0.729010
2023-09-02,EUR,1.082220
2024-04-26,INR,0.012000
2024-07-02,GBP,1.265950
2024-01-27,AED,0.272290
2023-05-28,MXN,0.056760
2024-08-28,EUR,1.117170
2024-03-22,AUD,0.659650
2024-10-02,AED,0.272290
2024-03-09,AED,0.272300
2023-08-08,GBP,1.275650
2023-11-11,GBP,1.222030
2023-01-04,CAD,0.734220
2023-12-06,AUD,0.657230
2023-05-21,SGD,0.742860
2024-08-17,MXN,0.053640
2023-04-29,CAD,0.735530
2023-12-02,JPY,0.006770
2023-11-01,EUR,1.060370
2023-07-08,BRL,0.204350
2023-07-05,EUR,1.089810
2024-06-07,INR,0.011980
2023-12-21,CAD,0.749610
2023-04-10,EUR,1.090660
2023-12-26,CHF,1.168670
2023-02-09,MXN,0.052910
2024-02-06,MXN,0.058270
2023-12-13,AED,0.272340
2024-09-30,CAD,0.739970
2024-02-05,GBP,1.263710
2024-01-12,MXN,0.058940
2023-02-08,SGD,0.754160
2024-01-16,GBP,1.273630
2024-06-13,AUD,0.664560
2023-02-19,GBP,1.204430
2023-01-19,GBP,1.233340
2024-07-09,CHF,1.115920
2024-01-09,AUD,0.670720
2024-10-24,INR,0.011890
2024-01-02,CAD,0.754930
2024-09-09,BRL,0.178680
2023-09-04,BRL,0.202130
2023-07-04,CAD,0.754700
2023-12-27,SGD,0.755630
2024-05-02,INR,0.011980
2023-02-19,JPY,0.007450
2023-10-10,JPY,0.006720
2024-07-30,EUR,1.083660
2023-09-06,AUD,0.639200
2023-03-07,CHF,1.070990
2024-02-21,MXN,0.058670
2023-05-16,SGD,0.747790
2023-01-10,SGD,0.751350
2024-10-17,SGD,0.763030
2023-05-02,AUD,0.663510
2024-08-02,MXN,0.053490
2024-09-30,CHF,1.190000
2024-08-05,GBP,1.280660
2024-10-02,INR,0.011930
2024-01-18,JPY,0.006760
2023-07-29,SGD,0.751180
2023-03-09,AED,0.272310
2024-06-02,AED,0.272280
2023-11-10,EUR,1.069680
2024-01-20,SGD,0.745430
2024-09-30,BRL,0.184070
2024-02-19,CAD,0.741720
2024-09-29,GBP,1.337350
2024-02-22,JPY,0.006660
2024-01-23,SGD,0.745630
2023-06-28,MXN,0.058480
2023-05-30,EUR,1.071990
2023-09-03,GBP,1.259020
2024-09-18,CHF,1.183100
2024-01-23,MXN,0.058430
2023-05-16,JPY,0.007350
2024-06-29,CHF,1.112350
2024-06-10,EUR,1.079950
2023-11-18,AED,0.272300
2023-11-16,EUR,1.086140
2023-06-06,AUD,0.660730
2024-01-01,AED,0.272310
2024-09-16,CAD,0.736100
2024-07-07,EUR,1.084040
2023-02-12,EUR,1.067870
2024-11-13,CAD,0.717120
2024-09-13,INR,0.011910
2024-09-19,AED,0.272290
2023-05-07,CHF,1.123030
2024-03-24,CHF,1.114550
2024-07-17,GBP,1.296440
2023-01-13,GBP,1.217810
2023-12-30,AUD,0.682200
2023-03-31,CHF,1.092130
2024-05-18,JPY,0.006420
2023-09-03,CAD,0.735890
2023-10-27,SGD,0.729400
2024-07-17,EUR,1.089380
2024-03-03,JPY,0.006660
2023-10-23,GBP,1.216430
2024-02-14,SGD,0.741940
2024-04-18,AUD,0.642560
2023-11-14,EUR,1.069050
2024-09-14,EUR,1.108490
2023-03-03,CAD,0.734810
2024-06-10,JPY,0.006380
2023-10-16,GBP,1.214990
2024-10-27,MXN,0.050050
2023-08-15,JPY,0.006890
2023-12-01,CHF,1.144190
2024-02-09,SGD,0.743130
2023-09-14,CAD,0.737730
2023-08-26,EUR,1.079440
2023-10-14,GBP,1.217350
2024-10-09,GBP,1.309600
2024-01-16,MXN,0.059260
2023-01-27,AED,0.272300
2023-02-11,GBP,1.209080
2023-09-06,CHF,1.126460
2023-10-21,AUD,0.631510
2024-03-23,EUR,1.082390
2024-03-01,GBP,1.265000
2023-10-05,MXN,0.055490
2023-12-05,MXN,0.057760
2024-07-30,GBP,1.285750
2024-09-29,MXN,0.050770
2024-01-20,INR,0.012030
2023-03-14,AED,0.272320
2023-08-05,INR,0.012090
2023-12-11,SGD,0.745260
2023-12-22,GBP,1.265780
2024-08-26,GBP,1.321810
2023-12-08,AUD,0.657160
2024-01-06,AED,0.272310
2024-01-12,EUR,1.097120
2023-06-07,SGD,0.741480
2023-09-26,SGD,0.731960
2023-02-27,AUD,0.672880
2024-07-10,JPY,0.006210
2023-02-05,SGD,0.755740
2023-03-22,CHF,1.080230
2024-05-28,AED,0.272290
2024-09-30,AUD,0.690370
2024-04-06,MXN,0.060530
2024-09-11,BRL,0.178170
2023-05-14,CHF,1.113420
2024-07-22,BRL,0.178820
2023-09-15,INR,0.012050
2024-07-15,AED,0.272310
2023-07-19,SGD,0.756600
2023-03-27,CHF,1.087650
2023-08-29,SGD,0.737600
2023-02-26,CHF,1.062720
2024-09-28,GBP,1.338760
2024-07-25,AUD,0.659540
2024-04-08,INR,0.012010
2024-02-13,INR,0.012050
2023-07-09,EUR,1.097010
2023-03-17,EUR,1.060610
2023-02-19,BRL,0.193550
2023-10-28,AUD,0.634240
2024-06-09,CAD,0.726450
2023-05-14,MXN,0.056850
2023-07-01,AED,0.272300
2024-06-12,CAD,0.726510
2024-01-01,CAD,0.754900
2023-11-12,JPY,0.006600
2023-07-20,BRL,0.208310
2023-04-16,CAD,0.748810
2023-02-15,GBP,1.216930
2024-04-02,AED,0.272340
2024-04-30,AUD,0.656350
2024-10-27,CHF,1.153780
2023-03-24,EUR,1.087920
2024-01-08,AUD,0.672100
2024-09-09,JPY,0.007030
2023-03-18,AUD,0.669890
2023-01-14,EUR,1.083380
2024-05-16,CAD,0.734000
2023-03-10,AED,0.272310
2024-04-18,AED,0.272330
2024-09-07,GBP,1.316080
2023-11-02,INR,0.012010
2023-07-04,INR,0.012200
2024-09-14,AED,0.272280
2023-04-01,MXN,0.055380
2023-05-04,AED,0.272370
2023-07-23,MXN,0.058870
2023-11-14,JPY,0.006590
2024-01-08,BRL,0.205230
2024-03-14,JPY,0.006770
2023-09-11,CHF,1.120290
2023-01-01,BRL,0.189320
2024-01-14,INR,0.012070
2024-06-30,SGD,0.737580
2024-06-08,BRL,0.189430
2024-03-18,MXN,0.059830
2023-09-12,INR,0.012060
2023-02-27,GBP,1.194260
2024-07-16,CHF,1.117150
2023-01-19,CHF,1.090260
2024-05-02,BRL,0.192530
2023-05-27,GBP,1.234840
2024-09-10,MXN,0.050230
2023-11-30,INR,0.012000
2023-01-14,AED,0.272310
2024-10-16,CAD,0.724630
2024-08-05,BRL,0.174660
2023-01-15,CAD,0.746740
2024-05-24,EUR,1.082830
2023-09-13,JPY,0.006810
2024-03-14,CAD,0.741770
2024-02-10,CHF,1.143340
2024-03-23,BRL,0.200650
2024-03-20,EUR,1.086200
2023-10-22,CAD,0.729220
2023-06-26,BRL,0.209030
2023-12-18,MXN,0.058130
2023-01-12,JPY,0.007550
2023-07-02,BRL,0.208920
2023-03-25,AUD,0.671360
2024-06-07,EUR,1.088530
2024-05-09,MXN,0.059130
2023-02-23,BRL,0.193560
2024-04-11,SGD,0.741440
2024-07-06,MXN,0.055300
2024-10-25,AUD,0.664440
2023-12-29,MXN,0.059120
2023-03-15,EUR,1.071850
2023-02-21,JPY,0.007450
2023-05-10,SGD,0.753870
2023-10-29,GBP,1.212870
2023-01-25,SGD,0.757990
2023-12-10,CHF,1.136570
2024-03-08,CHF,1.136580
2023-08-25,GBP,1.266340
2023-05-11,JPY,0.007420
2023-01-21,AED,0.272300
2024-02-15,BRL,0.201720
2023-10-02,JPY,0.006700
2023-05-18,AED,0.272380
2023-05-09,CHF,1.124760
2024-03-16,CHF,1.131480
2023-04-11,CHF,1.101540
2023-10-26,JPY,0.006670
2023-10-17,EUR,1.053980
2023-02-11,MXN,0.053390
2024-10-04,MXN,0.051450
2023-03-28,CAD,0.729880
2024-05-26,JPY,0.006370
2024-05-18,GBP,1.267690
2023-01-31,CHF,1.084360
2024-10-20,JPY,0.006690
2023-04-05,MXN,0.055280
2024-09-25,INR,0.011960
2024-06-15,BRL,0.186370
2024-04-12,EUR,1.073390
2023-02-28,CAD,0.735900
2024-09-17,GBP,1.318650
2023-08-15,CAD,0.743140
2023-09-09,CHF,1.121360
2024-10-22,CAD,0.723470
2023-06-10,INR,0.012130
2023-05-01,GBP,1.257000
2023-10-07,AUD,0.637130
